voted_for_flowers,voted_for_ivey,votecount,voted_eur,voted_aa,voted_oth,pct_flowers,pct_ivey,pct_eth_eur,pct_eth_aa,pct_eth_oth
2222,9363,11585,9096,1793,696,0.19179974104445405,0.8082002589555459,0.7851532153646957,0.1547690979715149,0.06007768666378938
1471,15227,16698,15645,180,873,0.08809438256078572,0.9119056174392143,0.9369385555156307,0.010779734099892203,0.05228171038447718
4508,20189,24697,20245,3683,769,0.18253229137142163,0.8174677086285783,0.8197351905089687,0.14912742438352836,0.031137385107502937
2167,7286,9453,242,67,9144,0.2292393949010896,0.7707606050989104,0.02560033851687295,0.00708769702739871,0.9673119644557283
4593,20685,25278,21216,2896,1166,0.1816995015428436,0.8183004984571565,0.8393069071920247,0.11456602579317984,0.04612706701479547
628,4708,5336,4691,497,148,0.1176911544227886,0.8823088455772113,0.8791229385307346,0.09314092953523238,0.027736131934032984
646,6592,7238,6603,229,406,0.08925117435755733,0.9107488256424426,0.9122685824813485,0.03163857419176568,0.05609284332688588
700,7049,7749,6934,484,331,0.09033423667570009,0.9096657633242999,0.8948251387275777,0.06245967221576978,0.04271518905665247
2339,608,2947,534,2347,66,0.7936884967763828,0.20631150322361724,0.18120122158126908,0.7964031218187988,0.022395656599932135
2818,2288,5106,2190,2856,60,0.5518997258127692,0.4481002741872307,0.4289071680376028,0.5593419506462984,0.011750881316098707
1490,5102,6592,4900,1415,277,0.22603155339805825,0.7739684466019418,0.7433252427184466,0.21465412621359223,0.04202063106796117
5634,21139,26773,20807,4635,1331,0.21043588690098233,0.7895641130990176,0.7771635603032906,0.17312217532588803,0.04971426437082135
1386,11630,13016,12091,316,609,0.10648432698217579,0.8935156730178242,0.9289336201598033,0.02427781192378611,0.04678856791641057
96175,92583,188758,105945,77811,5002,0.5095148285105797,0.49048517148942034,0.5612742241388444,0.41222623676877274,0.02649953909238284
415,3831,4246,3823,322,101,0.09773904851625059,0.9022609514837494,0.9003768252472916,0.07583608101742817,0.023787093735280262
4761,20235,24996,21996,1805,1195,0.19047047527604416,0.8095295247239558,0.8799807969275084,0.07221155384861577,0.04780764922387582
1707,8629,10336,8928,1145,263,0.16515092879256965,0.8348490712074303,0.8637770897832817,0.11077786377708979,0.025445046439628482
11803,27242,39045,29355,7675,2015,0.3022922269176591,0.6977077730823409,0.7518248175182481,0.1965680624919964,0.05160711998975541
6289,23770,30059,24772,3849,1438,0.20922186366811937,0.7907781363318807,0.824112578595429,0.12804817192854054,0.04783924947603047
2706,1309,4015,1189,2622,204,0.673972602739726,0.32602739726027397,0.29613947696139475,0.6530510585305106,0.05080946450809465
3994,1244,5238,1055,4169,14,0.7625047728140512,0.23749522718594884,0.2014127529591447,0.7959144711722032,0.002672775868652157
42176,72059,114235,82805,24461,6969,0.3692038342014269,0.6307961657985731,0.724865409025255,0.21412876964152844,0.061005821333216616
3317,3851,7168,3619,3361,188,0.46275111607142855,0.5372488839285714,0.5048828125,0.46888950892857145,0.026227678571428572
528,7625,8153,7770,165,218,0.06476143750766589,0.9352385624923341,0.9530234269594015,0.02023794922114559,0.026738623819452963
2077,21345,23422,22071,199,1152,0.08867731192895568,0.9113226880710443,0.9423191870890616,0.008496285543506106,0.049184527367432326
38910,63593,102503,65148,34093,3262,0.37959864589329095,0.620401354106709,0.6355716418056058,0.332604899368799,0.031823458825595355
2609,4313,6922,4068,2582,272,0.37691418665125687,0.6230858133487431,0.5876914186651258,0.37301357989020517,0.03929500144466918
32511,23565,56076,23111,31361,1604,0.5797667451316071,0.4202332548683929,0.4121370996504744,0.5592588629716814,0.02860403737784436
5362,25484,30846,26927,2808,1111,0.17383129092913183,0.8261687090708681,0.8729494910199054,0.09103287298191014,0.03601763599818453
2187,942,3129,839,2250,40,0.6989453499520614,0.30105465004793863,0.2681367849153084,0.7190795781399808,0.01278363694471077
2249,4212,6461,4084,2248,129,0.34808853118712274,0.6519114688128773,0.6321002940721251,0.3479337563844606,0.01996594954341433
2568,5375,7943,5224,2399,320,0.3233035377061564,0.6766964622938436,0.6576860128414956,0.3020269419614755,0.04028704519702883
925,5462,6387,5353,747,287,0.1448254266478785,0.8551745733521215,0.8381086582119931,0.11695631751996242,0.044935024268044466
5146,6144,11290,5919,4834,537,0.4558015943312666,0.5441984056687333,0.5242692648361382,0.42816651904340125,0.047564216120460585
14913,51196,66109,54795,9073,2241,0.22558199337457835,0.7744180066254217,0.8288584005203528,0.13724303801297857,0.033898561466668684
3606,23055,26661,23736,2286,639,0.13525374142005175,0.8647462585799482,0.8902891864521211,0.0857432204343423,0.023967593113536627
2656,1176,3832,1075,2707,50,0.6931106471816284,0.3068893528183716,0.2805323590814196,0.706419624217119,0.013048016701461378
6684,14313,20997,14383,6033,581,0.3183311901700243,0.6816688098299757,0.6850026194218222,0.28732676096585225,0.02767061961232557
2751,10444,13195,10486,2379,330,0.20848806366047745,0.7915119363395225,0.7946949602122017,0.1802955665024631,0.025009473285335357
17937,31841,49778,34855,13394,1529,0.36033990919683395,0.6396600908031661,0.7002089276387159,0.2690746916308409,0.03071638073044317
1905,15217,17122,15489,901,732,0.11126036677958183,0.8887396332204182,0.9046256278472141,0.05262235720126154,0.04275201495152436
1206,4584,5790,4260,1159,371,0.20829015544041452,0.7917098445595855,0.7357512953367876,0.20017271157167532,0.06407599309153715
2489,1371,3860,1048,2684,128,0.6448186528497409,0.35518134715025906,0.27150259067357513,0.6953367875647668,0.03316062176165803
344,6331,6675,6464,22,189,0.05153558052434457,0.9484644194756554,0.9683895131086142,0.003295880149812734,0.028314606741573035
