OBJECTID,DISTRICT,POPULATION,RDED,Shape__Are,Shape__Len,TOTAL_REG,ETH1_EUR,ETH1_AA,ETH1_UNK,Rochester Percentage,Murphy Percentage
115,8,2461,08-08,19618257.5019568,19509.921909791403,2009,999,601,185,65.73,32.91
116,8,1887,08-09,5675554.25812494,13341.4019230445,1588,1055,199,171,51.68,46.71
117,8,2653,08-10,4028302.17295285,10365.1452318928,1942,868,672,86,67.46,30.28
118,8,1256,08-11,28033620.8006613,32575.3829650366,938,503,254,70,54.86,43.71
119,9,2057,09-01,114159062.133049,49229.4867293236,1680,1200,222,144,37.58,61.07
120,9,2454,09-02,7470057.53369941,11522.726352674,1873,942,566,171,62.66,35.14
121,9,3057,09-03,49284311.5525455,53385.8762497731,2481,1603,452,206,51.07,47.45
122,9,862,09-04,7784400.2778875,17917.264936019903,796,503,172,71,52.69,43.91
123,9,1651,09-05,31624213.577757,38672.7833809139,1423,717,398,123,64.58,32.98
124,9,1147,09-06,19728486.1620427,23999.9351402377,1099,654,251,80,63.11,35.26
125,9,64,09-07,5606635.77350894,12645.8945835884,45,33,6,5,40,56
126,9,1297,09-08,8553043.01046312,14755.2795625539,1059,627,259,58,51.5,47.93
127,9,431,09-09,144668744.087225,74948.5118498393,298,215,50,29,31.39,65.69
128,9,2278,09-10,11391734.2065375,22532.2378484873,1902,946,609,179,60.38,38.08
129,9,2853,09-11,29847867.8930599,27773.434066396,2079,1541,208,150,47.55,51.1
130,9,2608,09-12,17800420.3305603,26892.7616002221,2467,1561,392,263,53.78,45.08
131,9,4364,09-13,9310620.68494961,12220.132398700602,2913,1469,721,236,61.11,36.89
132,10,1920,10-01,2644110.51035574,7022.48838508345,1556,1056,42,166,57.14,41.11
133,10,1654,10-02,2911968.65934783,8075.45685080265,1371,1060,23,191,59.3,40.16
134,10,1692,10-03,2215380.17916961,6267.6847078911405,1416,1043,30,183,62.39,36.76
135,10,2055,10-04,2149985.04422889,6403.551684147151,1371,833,291,139,67.01,31.12
136,10,1889,10-05,2935633.43842771,8523.23069684633,1556,1188,13,198,61.28,37.72
137,10,1968,10-06,2600944.87183461,7375.096055073691,1754,1324,42,194,56.81,41.57
138,10,1653,10-07,1705685.74111142,8663.353565013162,1316,959,22,194,64.43,33.82
139,10,2047,10-08,10610587.1438146,19146.3823003052,1185,870,31,143,62.93,35.1
140,10,1812,10-09,2129454.07754105,6175.72166320928,1366,877,152,126,54.39,44.34
141,10,2244,10-10,2549511.23668082,6648.95546903473,1790,1379,50,194,65.23,33.23
142,10,1985,10-11,2437731.33631612,7004.580752921,1680,1218,99,191,63.16,34.87
143,10,2261,10-12,3272915.18261936,9873.76294801939,1441,907,263,108,72.25,26.2
144,11,2454,11-01,28817718.9251746,36083.3250260068,1473,765,386,143,62.84,36.47
145,11,4015,11-02,52643313.6719277,41606.601932833,3059,1827,756,212,53.48,44.5
146,11,2317,11-03,124115620.565121,47402.9654344546,1883,1633,26,157,24.27,73.35
147,11,2852,11-04,86666739.3664509,47640.8543984766,2234,1676,274,182,35.14,62.73
148,11,2977,11-05,89961205.1397322,41403.7846070614,2348,1966,73,187,32.27,65.68
149,11,2712,11-06,86182178.2030159,50514.121944338505,1953,1668,44,147,26,71.59
150,11,927,11-07,23365875.9339658,23032.1261297356,619,521,26,45,32.12,66.79
151,11,1514,11-08,32764093.2895446,33985.1109743176,980,819,32,82,30.24,67.37
152,11,847,11-09,15155006.9358411,23241.7597594073,548,457,7,47,21.72,76.64
153,11,1143,11-10,23099650.3089384,23893.5797713237,669,507,57,64,26.17,72.82
154,11,1096,11-11,18915518.8963054,16966.0966120784,528,405,65,38,24.28,72.84
155,11,501,11-12,24891434.2857761,20625.6180792013,340,280,20,15,26.67,72
156,11,958,11-13,23327561.983824,24734.278939412,722,612,31,43,30.84,66.28
