geoid20,total_reg,eth1_aa,eth1_eur,g20201103_voted_all,g20201103_pct_voted_all
100050518014032,3,0,3,2,0.6666999999999998
100050518014031,17,1,14,9,0.5293999999999999
100050518014030,39,6,28,20,0.8
100050518014029,173,8,138,95,0.6129
100050518014028,3,0,3,2,0.6666999999999998
100050518014027,10,0,9,5,0.5
100050518014026,4,0,2,2,1.0
100050518014025,4,0,4,3,0.75
100050518014024,268,5,229,190,0.748
100050518014023,8,0,8,4,0.8
100050518014022,33,1,27,14,0.4828
100050518014021,0,0,0,0,
100050518014020,6,0,6,5,0.8333
100050518014019,16,4,7,8,0.5333
100050518014018,16,0,16,12,0.8
100050518014017,7,3,4,4,0.6666999999999998
100050518014016,64,1,57,32,0.5614
100050518014015,13,1,9,9,0.6922999999999999
100050518014014,32,0,30,30,0.9375
100050518014013,77,2,65,53,0.7259999999999999
100050518014012,5,0,5,1,0.2
100050518014011,21,2,15,13,0.7222
100050518014010,7,0,7,5,0.8333
100050518014009,29,1,21,22,0.8147999999999999
100050518014008,11,0,8,9,0.9
100050518014007,28,0,26,17,0.7083
100050518014006,4,1,2,1,0.25
100050518014005,1,0,0,0,
100050518014004,191,9,154,124,0.7006
100050518014003,0,0,0,0,
100050518014002,0,0,0,0,
100050518014001,0,0,0,0,
100050518014000,0,0,0,0,
100050518013024,5,2,3,5,1.0
100050518013023,8,0,8,2,0.25
100050518013022,6,0,5,3,0.5999999999999999
100050518013021,2,0,2,2,1.0
100050518013020,7,0,5,5,1.0
100050518013019,8,0,8,5,0.625
100050518013018,40,3,31,28,0.7367999999999999
100050518013017,66,1,53,39,0.629
100050518013016,0,0,0,0,
100050518013015,20,3,16,15,0.8333
100050518013014,33,0,22,15,0.4839
100050518013013,4,0,4,3,0.75
100050518013012,2,0,2,2,1.0
100050518013011,46,0,36,32,0.7619
100050518013010,77,1,67,44,0.6377
100050518013009,14,1,12,8,0.5714
100050518013008,35,1,34,27,0.8709999999999998
100050518013007,33,5,27,19,0.5937999999999999
100050518013006,3,0,3,3,1.0
100050518013005,139,9,125,83,0.6336
100050518013004,6,0,6,6,1.0
100050518013003,0,0,0,0,
100050518013002,58,6,45,38,0.6785999999999999
100050518013001,50,6,40,30,0.625
100050518013000,0,0,0,0,
100050518012032,0,0,0,0,
100050518012031,6,0,5,5,0.8333
100050518012030,16,0,11,12,0.8
100050518012029,28,1,27,21,0.75
100050518012028,0,0,0,0,
100050518012027,4,0,4,3,0.75
100050518012026,0,0,0,0,
