OBJECTID,DISTRICT,POPULATION,RDED,Shape__Are,Shape__Len,TOTAL_REG,ETH1_EUR,ETH1_AA,ETH1_UNK,Biden Percentage,Trump Percentage,Hawkins Percentage,Jorgensen Percentage
123,9,1651,09-05,31624213.577757,38672.7833809139,1423,717,398,123,62.11,36.55,0.3,1.05
124,9,1147,09-06,19728486.1620427,23999.9351402377,1099,654,251,80,49.93,48.29,0.27,1.51
125,9,64,09-07,5606635.77350894,12645.8945835884,45,33,6,5,51.32,46.19,0.99,1.49
126,9,1297,09-08,8553043.01046312,14755.2795625539,1059,627,259,58,61.5,36.93,0.58,0.99
127,9,431,09-09,144668744.087225,74948.5118498393,298,215,50,29,34.82,63.56,0.29,1.33
128,9,2278,09-10,11391734.2065375,22532.2378484873,1902,946,609,179,63.11,35.92,0.37,0.6
129,9,2853,09-11,29847867.8930599,27773.434066396,2079,1541,208,150,51.11,47.37,0.3,1.23
130,9,2608,09-12,17800420.3305603,26892.7616002221,2467,1561,392,263,55.86,43.28,0.12,0.74
131,9,4364,09-13,9310620.68494961,12220.132398700602,2913,1469,721,236,62.91,35.34,0.6,1.15
132,10,1920,10-01,2644110.51035574,7022.48838508345,1556,1056,42,166,59.45,39.61,0.13,0.8
133,10,1654,10-02,2911968.65934783,8075.45685080265,1371,1060,23,191,63.04,35.63,0.58,0.75
134,10,1692,10-03,2215380.17916961,6267.6847078911405,1416,1043,30,183,61.97,36.68,0.36,0.99
135,10,2055,10-04,2149985.04422889,6403.551684147151,1371,833,291,139,73.07,26.09,0.31,0.53
136,10,1889,10-05,2935633.43842771,8523.23069684633,1556,1188,13,198,64,34.67,0.24,1.1
137,10,1968,10-06,2600944.87183461,7375.096055073691,1754,1324,42,194,57.63,40.49,0.37,1.5
138,10,1653,10-07,1705685.74111142,8663.353565013162,1316,959,22,194,65.11,33.19,0.25,1.45
139,10,2047,10-08,10610587.1438146,19146.3823003052,1185,870,31,143,77.82,21.22,0.21,0.74
140,10,1812,10-09,2129454.07754105,6175.72166320928,1366,877,152,126,57.21,40.5,0.48,1.81
141,10,2244,10-10,2549511.23668082,6648.95546903473,1790,1379,50,194,78.78,20.31,0.39,0.52
142,10,1985,10-11,2437731.33631612,7004.580752921,1680,1218,99,191,,,,
143,10,2261,10-12,3272915.18261936,9873.76294801939,1441,907,263,108,,,,
144,11,2454,11-01,28817718.9251746,36083.3250260068,1473,765,386,143,54.44,43.86,0.68,1.02
145,11,4015,11-02,52643313.6719277,41606.601932833,3059,1827,756,212,61.91,36.7,0.39,1
146,11,2317,11-03,124115620.565121,47402.9654344546,1883,1633,26,157,28.32,70.24,0.5,0.93
147,11,2852,11-04,86666739.3664509,47640.8543984766,2234,1676,274,182,38.04,60.48,0.46,1.03
148,11,2977,11-05,89961205.1397322,41403.7846070614,2348,1966,73,187,34.1,64.36,0.19,1.34
149,11,2712,11-06,86182178.2030159,50514.121944338505,1953,1668,44,147,28.3,70.3,0.59,0.81
150,11,927,11-07,23365875.9339658,23032.1261297356,619,521,26,45,37.35,61.08,0.64,0.93
151,11,1514,11-08,32764093.2895446,33985.1109743176,980,819,32,82,33.98,63.29,1.29,1.45
152,11,847,11-09,15155006.9358411,23241.7597594073,548,457,7,47,19.89,79.01,0.27,0.82
153,11,1143,11-10,23099650.3089384,23893.5797713237,669,507,57,64,28.12,69.6,1.06,1.22
154,11,1096,11-11,18915518.8963054,16966.0966120784,528,405,65,38,,,,
155,11,501,11-12,24891434.2857761,20625.6180792013,340,280,20,15,,,,
156,11,958,11-13,23327561.983824,24734.278939412,722,612,31,43,,,,
157,11,548,11-14,6753049.81942362,12492.6876805221,429,318,64,32,,,,
158,12,2255,12-01,1652878.69742267,5781.22234440857,1696,1329,26,182,65.26,32.92,0.51,1.31
159,12,1610,12-02,1516935.03707612,7061.302918967161,1365,1099,11,139,66.15,32.57,0.46,0.82
160,12,1628,12-03,1851671.40389714,5808.579912237571,1280,1000,16,141,65.81,32.51,0.79,0.89
161,12,2447,12-04,19802509.7436374,23489.878030908,2340,1751,13,243,59.96,38.88,0.1,1.06
162,12,2083,12-05,7160224.42996113,11888.7669334783,1803,1458,8,194,61.26,37.48,0.4,0.86
163,12,963,12-06,26404364.3192431,24616.23477955189,769,633,2,82,55.87,42.54,0.32,1.27
164,12,623,12-07,683101.51579564,4298.005267190861,448,377,1,36,60.64,37.52,0.46,1.38
165,12,174,12-08,222135.24768608,1940.6293630203104,262,207,8,24,59.04,39.76,0.37,0.82
166,12,2566,12-09,4793016.62435474,12111.9757042186,1657,1297,21,195,62.7,35.91,0.52,0.87
167,12,1711,12-10,19359009.9915831,22883.5453668828,1447,1134,15,158,57.45,41.37,0.35,0.83
168,12,1635,12-11,29469883.4858637,24521.0457315879,1545,1169,13,181,54.59,44.51,0.25,0.66
169,12,227,12-12,241497.45482274,1986.75332208088,218,182,0,27,55.46,43.29,0.42,0.83
170,12,825,12-13,5082055.9486561,9721.37765385017,643,516,3,47,63.75,35.82,0,0.44
171,12,1393,12-14,20385283.7527831,24568.696260991,1244,970,6,149,62.52,36.15,0.12,1.21
172,12,960,12-15,8603642.24351928,18492.8928383474,819,664,2,98,,,,
173,12,1828,12-16,1320948.3028161,5422.63138250306,1539,1256,26,165,,,,
174,12,2205,12-17,2413336.924261,6732.96153573267,1977,1601,24,224,,,,
175,13,2397,13-01,2324498.98997635,8311.54603540121,1641,1080,128,100,62.83,35.51,0.58,1.08
176,13,1857,13-02,1456256.66254656,5144.366635262771,1214,864,48,102,62.82,34.23,0.37,2.58
177,13,834,13-03,308821.08745298,2650.2940172275303,515,116,142,13,79,19.33,0.33,1.33
178,13,2489,13-04,3112798.9450707,7458.458103546131,1828,1311,81,156,61.19,37.32,0.39,1.1
179,13,2634,13-05,1376073.75484764,5680.29763306334,1635,1054,187,110,65.76,31.86,0.85,1.53
180,13,2417,13-06,1922220.91980244,8742.17476663315,1818,1289,153,145,62.9,35.75,0.28,1.07
181,13,1294,13-07,689809.769098755,3889.0059285203,915,635,98,61,67.8,30.39,0,1.81
182,13,3055,13-08,2005545.86687969,5974.410329205451,1912,1094,235,112,69.14,29.23,0.59,1.04
183,13,2329,13-09,1605172.60750945,6267.18107987684,1499,855,280,110,69.49,29.05,1.03,0.43
184,13,1147,13-10,1789432.5189435,6221.422118227871,779,518,58,57,60.92,36.87,0.4,1.8
185,13,2343,13-11,1770012.41332101,7908.8753738904,1480,814,288,81,77.56,21.55,0.45,0.45
186,13,39,13-12,59655.8086873,1129.8175042745702,10,0,0,0,80,0,20,0
187,13,998,13-13,1228529.86832136,5024.04030270434,472,214,108,30,81.9,18.1,0,0
188,13,1038,13-14,5010873.73984201,9665.9371726907,761,598,19,79,0,0,0,0
189,13,173,13-15,48816.18809055,1002.26391028648,126,46,48,3,,,,
190,14,1933,14-01,8300546.60687617,17791.6080834966,1823,1470,18,213,57.22,41.77,0.34,0.67
191,14,2577,14-02,8809043.75323773,17481.5294848857,2307,1835,39,253,55.63,43.66,0.37,0.34
192,14,3132,14-03,13865114.0811963,16800.142668707398,2627,2126,42,291,63.32,35.64,0.29,0.75
193,14,3102,14-04,24256522.1032396,33428.4601500173,2801,2303,17,300,58.37,40.9,0.25,0.48
194,14,2155,14-05,6381302.97288549,17392.0675394752,1908,1567,10,217,49.61,49.41,0.34,0.64
195,14,2160,14-06,8998956.81013456,14099.9427345682,1900,1585,18,193,61.34,37.87,0.26,0.53
196,14,1171,14-07,6309769.93414438,13829.2938315214,1175,960,3,159,61.98,36.98,0.28,0.76
197,14,3040,14-08,9758621.52262802,23168.7376111358,2437,1989,17,281,,,,
198,14,1480,14-09,14143731.5556077,15867.3348254237,2491,2015,17,294,,,,
199,14,1439,14-10,47502468.0156832,39518.9925379302,1275,1059,11,150,,,,
200,14,855,14-11,265285193.008142,101443.244523052,707,590,6,69,,,,
201,15,1388,15-01,21436972.5153144,29816.3905362944,1073,698,167,81,51.59,45.95,0.88,1.59
202,15,1569,15-02,3544880.98267218,8979.52685140055,1287,610,453,81,61.48,37.1,0.45,0.96
203,15,3298,15-03,18389998.6093197,19681.2971801077,2556,1018,952,167,69.3,29.46,0.45,0.79
204,15,1483,15-04,2855543.91501661,7635.18005134114,1223,646,342,92,67.27,31.44,0.43,0.86
205,15,1242,15-05,8220224.7791746,15234.1032085618,1012,579,243,74,74.62,24.32,0.3,0.77
206,15,2279,15-06,3407141.52050949,7544.238275729721,1779,695,692,128,77.3,20.71,0.33,1.66
207,15,2237,15-07,11218986.2012412,13560.000118889,1767,793,575,129,64.44,34.87,0.31,0.38
208,15,1734,15-08,1418450.43749045,5440.43063081006,1070,639,187,84,57.53,40.59,0.81,1.08
209,15,1899,15-09,5557846.45778666,9486.42507387503,1666,1091,332,108,56.08,41.86,0.63,1.42
210,15,3727,15-10,3071855.73236358,8371.758131287612,2503,888,1161,119,81.39,17.59,0.45,0.58
211,15,3674,15-11,6144107.47206347,13235.588999193,2284,748,1118,134,,,,
212,16,2626,16-01,3659509.56192026,9939.644464303392,1973,887,613,104,66.53,32.73,0.33,0.41
213,16,2761,16-02,11258687.1111251,20730.6669812922,2013,376,1291,53,85.71,13.4,0.44,0.44
214,16,1953,16-03,1998170.5587612,7496.78465576507,1508,80,1242,13,96.34,3.03,0.21,0.42
215,16,892,16-04,1760486.26466334,6365.74478776348,615,178,277,33,71.88,26.2,0.64,1.28
216,16,2384,16-05,1823782.36579723,7092.74128746333,1860,225,1248,31,92,7.34,0.33,0.33
217,16,2113,16-06,17225461.600176,24534.6215677366,1377,237,946,57,90.49,8.78,0.36,0.36
218,16,1588,16-07,2988958.76329999,11341.084396078,1386,578,621,76,84.32,14.99,0.23,0.46
219,16,3315,16-08,2755693.22497339,9898.95607864791,2229,589,1274,101,82.21,16.37,0.68,0.75
220,16,1811,16-09,1283648.84059966,5241.87040274116,1208,713,260,66,61.97,36.27,0.35,1.41
221,16,165,16-10,789324.0403731951,4097.245242894531,136,57,67,5,68.56,29.69,0.7,1.05
222,16,2238,16-11,30321345.2515544,23599.3364238825,1428,629,261,72,,,,
223,16,1168,16-12,1207968.82889742,5825.02063051221,938,633,141,105,,,,
224,16,1155,16-13,11680656.2841413,17475.4160367316,524,238,157,30,,,,
225,17,1956,17-01,82579775.0236859,47608.9798743894,1479,1108,153,118,66.71,31.2,1.11,0.98
226,17,3436,17-02,35847019.0175811,28665.336665800503,2676,440,1730,85,87.32,11.84,0.39,0.45
227,17,2545,17-03,3368193.45679781,8073.21585403117,2002,560,1123,102,79.04,19.7,0.37,0.89
228,17,1192,17-04,24990833.3299948,24170.8637552818,733,444,205,44,68.28,30.32,0.37,1.03
229,17,1870,17-05,1964584.35763796,7397.7825334769905,1356,762,301,91,64.22,34.52,0.42,0.84
230,17,374,17-06,13730678.5889238,18065.2362797497,224,181,14,13,46.15,52.75,0.55,0.55
231,17,2220,17-07,3102683.38101841,8641.96677255697,1541,662,340,78,68.91,30.01,0.22,0.87
232,17,1555,17-08,3257679.52849058,8260.51894885524,1121,330,569,60,77.83,21.32,0.17,0.68
233,17,1559,17-09,1381364.53043212,5720.21352230604,1208,651,282,93,61.77,36.63,0.34,1.25
234,17,2379,17-10,1508637.43306269,5857.67842411613,1530,663,456,88,70.2,28.81,0.22,0.77
235,17,3354,17-11,16654886.9882113,18471.8355397834,1967,830,693,121,67.19,31.62,0.47,0.71
236,17,1829,17-12,2528967.82629164,10782.2173420895,1606,831,451,102,,,,
237,17,424,17-13,47412.47835924,1248.0113231418402,132,38,63,5,,,,
238,17,6,17-14,2133847.43402984,6867.46213316479,6,3,2,1,,,,
239,18,3791,18-01,3163309.57786134,9196.68431933918,2398,1154,671,204,72.98,25.33,0.98,0.72
240,18,3804,18-02,15827229.1187108,19970.518271546003,1743,992,339,146,71.58,26.65,1.03,0.75
241,18,1630,18-03,1505219.13637459,6725.61103649217,1053,384,428,69,73.14,25.34,0.3,1.21
242,18,2435,18-04,3802124.80171728,9527.16100258528,1798,718,761,83,76.08,23.05,0.36,0.51
243,18,2890,18-05,3260293.46963131,8334.824229300471,2107,1498,115,190,62.75,35.91,0.57,0.76
244,18,3490,18-06,2171138.30523002,7704.535009011821,2350,718,1229,87,76.17,22.74,0.5,0.59
245,18,2017,18-07,1254631.60398907,5142.16805690048,1218,660,319,72,66.23,32.33,0.24,1.2
246,18,3367,18-08,3112768.97096044,8748.011673258501,2294,850,1023,109,77.92,20.77,0.4,0.91
247,18,1081,18-09,2864835.3664835,9633.888205579162,890,407,299,48,68.92,30.25,0.52,0.31
248,19,1912,19-01,2301611.20155538,6812.71135797892,1496,1071,143,124,62.2,36.75,0.17,0.87
249,19,1969,19-02,2280108.05583717,8639.01945153756,1338,953,100,107,60.04,38.29,0.55,1.11
250,19,2504,19-03,4269426.00906354,10046.4935543347,2089,1654,34,193,55.92,42.56,0.36,1.16
